ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
8.7134581,51.5731926,-10.595,0.808,10.718,225.0,52.5,-363.48,5.13,1.0
8.7299995,51.5233879,-9.978,-2.18,10.889,154.6,51.8,-366.46,5.86,1.0
8.7336254,51.6004982,-9.843,2.447,10.992,381.6,49.4,-373.43,4.13,1.0
8.7356663,51.5511398,-9.767,-0.515,9.821,466.7,71.9,-364.68,4.16,1.0
8.7528334,51.5552788,-9.127,-0.267,9.142,446.8,55.1,-370.08,4.11,1.0
8.7540836,51.5986099,-9.08,2.333,10.209,270.8,45.4,-366.29,4.39,1.0
8.7668333,51.5978317,-8.604,2.287,9.744,325.9,56.9,-371.15,4.72,1.0
8.7699585,51.5541954,-8.488,-0.332,8.514,366.6,56.0,-362.54,4.46,1.0
8.7764587,51.5715561,-8.245,0.71,8.367,501.4,60.0,-365.57,2.92,1.0
8.7793751,51.5360832,-8.136,-1.418,8.617,380.5,53.1,-381.9,4.23,1.0
8.7799168,51.5761948,-8.116,0.988,8.354,220.0,42.4,-381.27,4.65,1.0
8.7903337,51.5559998,-7.728,-0.223,7.741,476.0,57.6,-372.21,3.87,1.0
8.7910004,51.610054,-7.703,3.02,9.788,204.7,48.6,-376.68,5.46,1.0
8.8069162,51.5190849,-7.109,-2.438,8.621,357.4,48.3,-380.28,4.19,1.0
8.8172503,51.5583611,-6.724,-0.082,6.726,372.1,55.5,-359.92,2.97,1.0
8.8236666,51.5496407,-6.484,-0.605,6.596,258.8,43.3,-364.58,4.65,1.0
8.8251667,51.5315552,-6.428,-1.69,7.263,365.2,50.4,-378.94,4.1,1.0
8.8271666,51.5471954,-6.354,-0.752,6.529,220.4,46.8,-371.51,4.82,1.0
8.8294163,51.5924988,-6.27,1.967,7.401,313.5,48.7,-374.29,4.3,1.0
8.8310003,51.5646935,-6.211,0.298,6.239,431.2,56.7,-371.34,4.07,1.0
8.8319998,51.5950279,-6.173,2.118,7.487,248.1,45.7,-365.8,4.6,1.0
8.8445835,51.5601959,-5.704,0.028,5.704,371.1,50.6,-377.74,4.21,1.0
