,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
122,9.0147495,51.5315285,0.643,-1.692,3.444,320.3,49.7,-391.9,3.09,1.0
18,8.8294163,51.5924988,-6.27,1.967,7.401,313.5,48.7,-374.29,4.3,1.0
67,8.9297504,51.5429459,-2.527,-1.007,3.231,374.1,52.8,-369.31,2.96,1.0
138,9.0345831,51.5339165,1.383,-1.548,3.392,225.8,43.9,-379.72,4.68,1.0
80,8.9486666,51.5440559,-1.822,-0.94,2.618,279.0,52.5,-358.68,3.42,1.0
178,9.104167,51.5343628,3.979,-1.522,5.009,293.5,44.7,-374.51,4.5,1.0
127,9.0196667,51.5978889,0.827,2.29,4.654,233.8,45.6,-371.97,4.64,1.0
32,8.8739996,51.592556,-4.607,1.97,6.062,292.0,81.4,-362.28,6.06,1.0
188,9.1188335,51.5771675,4.526,1.047,4.987,283.0,56.3,-342.64,4.91,0.9
200,9.1621246,51.6114731,6.141,3.105,8.733,163.3,45.4,-375.25,6.02,1.0
132,9.0274162,51.5542221,1.116,-0.33,1.297,250.1,44.1,-370.43,4.63,1.0
42,8.8896666,51.5161934,-4.022,-2.612,6.593,277.6,53.8,-370.27,4.67,1.0
211,9.2403746,51.5153351,9.06,-2.663,10.51,458.9,55.8,-376.85,4.16,1.0
128,9.0200415,51.5535011,0.841,-0.373,1.124,265.4,60.7,-374.74,5.42,1.0
49,8.9022503,51.5766945,-3.553,1.018,4.095,171.5,48.7,-363.63,6.19,1.0
161,9.0710421,51.5655823,2.743,0.352,2.832,226.2,44.3,-382.76,5.04,1.0
102,8.9860001,51.5320282,-0.429,-1.662,3.351,373.0,53.1,-392.53,4.16,1.0
55,8.9142504,51.5190544,-3.105,-2.44,5.784,417.8,72.7,-381.13,4.26,1.0
170,9.0905838,51.5819435,3.472,1.333,4.378,239.7,49.9,-371.26,4.59,1.0
66,8.9289579,51.5356407,-2.557,-1.445,3.859,242.2,53.6,-387.36,5.05,1.0
105,8.9899168,51.5074158,-0.283,-3.138,6.283,397.6,56.0,-368.92,4.22,1.0
