,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
144,344.5513,41.2680016,-0.748,-1.387,2.762,301.9,56.7,-206.87,4.6,1.0
122,344.5809631,41.3902779,0.589,5.95,9.819,462.3,58.0,-45.86,4.41,0.0
150,344.5400696,41.3180008,-1.255,1.613,2.303,358.2,57.1,-96.04,4.7,0.0
146,344.5443726,41.2400818,-1.061,-3.062,5.603,531.9,56.7,-115.28,4.14,0.0
6,344.6148376,41.2026405,2.116,-5.308,7.585,341.1,56.4,-33.05,4.19,0.0
127,344.5756531,41.2695541,0.349,-1.293,1.894,391.0,63.8,-196.62,4.62,1.0
22,344.6112061,41.2393341,1.952,-3.107,4.378,357.5,51.5,-209.51,3.79,1.0
33,344.5750427,41.2773895,0.322,-0.823,1.178,313.5,52.7,-195.91,4.47,1.0
143,344.552002,41.2480545,-0.717,-2.583,4.589,264.1,50.3,-213.16,4.83,1.0
47,344.5552368,41.2593613,-0.571,-1.905,3.416,385.5,49.1,-205.76,2.88,1.0
70,344.5010681,41.329277,-3.013,2.29,3.831,432.9,54.5,-195.06,3.7,1.0
35,344.5732117,41.2784462,0.239,-0.76,1.102,335.9,55.1,-215.39,3.94,1.0
68,344.505127,41.312973,-2.83,1.312,3.156,584.7,56.1,-53.05,3.45,0.0
65,344.5083618,41.3003349,-2.684,0.553,3.037,319.5,48.8,-218.76,4.08,0.99
73,344.4908447,41.3238335,-3.474,1.963,3.993,205.7,47.2,-199.2,5.39,1.0
42,344.5628662,41.2748871,-0.227,-0.973,1.697,506.9,54.9,-196.35,3.46,1.0
80,344.4754028,41.3481674,-4.17,3.423,5.513,125.7,45.5,-197.83,8.0,1.0
2,344.672821,41.1971664,4.73,-5.637,8.128,804.3,68.0,-3.13,3.34,0.0
74,344.4907227,41.3085823,-3.479,1.048,3.855,317.4,50.5,-171.15,3.8,0.78
87,344.4388428,41.3513069,-5.818,3.612,6.85,101.5,41.4,-187.01,8.07,0.99
116,344.5950928,41.2889442,1.226,-0.13,1.443,183.1,56.3,-208.09,6.4,1.0
100,344.4671936,41.188221,-4.54,-6.173,13.405,395.9,65.1,-78.51,5.06,0.0
160,344.5096741,41.2155838,-2.625,-4.532,9.187,489.7,56.6,-123.68,4.11,0.0
5,344.6203613,41.2039719,2.365,-5.228,7.42,408.6,54.8,-150.7,4.05,0.01
98,344.490387,41.2047768,-3.495,-5.18,10.952,332.2,55.6,-91.6,4.75,0.0
126,344.5769958,41.35989,0.41,4.127,6.811,529.1,59.3,-21.74,4.43,0.0
83,344.4646606,41.3421936,-4.654,3.065,5.583,264.0,45.5,-195.54,4.67,1.0
147,344.5426331,41.3386955,-1.139,2.855,4.079,395.6,67.1,-186.25,4.37,0.99
121,344.5819702,41.3714981,0.634,4.823,8.063,227.3,49.9,-78.92,5.89,0.0
94,344.4081726,41.299221,-7.201,0.487,8.637,565.1,55.9,-27.24,3.61,0.0
140,344.5551147,41.3256683,-0.576,2.073,3.031,421.3,63.9,-200.83,4.36,1.0
43,344.559906,41.2429161,-0.36,-2.892,4.821,230.7,45.3,-204.28,4.74,1.0
25,344.5989075,41.2610817,1.398,-1.802,2.572,348.4,51.6,-193.79,3.91,1.0
