ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
45.3742065,40.9811401,1.172,-0.432,2.042,132.2,62.8,-344.73,8.61,0.91
45.3714981,41.0165558,1.049,1.693,2.658,207.8,68.3,-323.98,7.05,1.0
45.3682098,41.022583,0.9,2.055,2.756,231.6,72.5,-319.18,6.66,1.0
45.3626251,40.9952507,0.647,0.415,1.254,203.0,59.9,-327.82,6.37,1.0
45.36446,40.9417763,0.73,-2.794,2.955,119.0,52.2,-321.96,8.01,1.0
45.3484154,40.9520264,0.004,-2.178,2.202,149.4,57.2,-313.3,7.18,0.99
45.3404999,41.0007515,-0.355,0.745,0.915,132.5,55.1,-334.14,7.17,1.0
45.3361244,40.9888039,-0.553,0.028,0.963,169.1,57.6,-333.23,6.8,1.0
45.3326683,40.9540291,-0.709,-2.058,2.55,149.5,52.9,-321.67,7.19,1.0
45.3313332,40.9634438,-0.77,-1.493,2.142,139.1,51.9,-314.25,6.73,0.99
45.3248329,40.9826927,-1.064,-0.339,1.932,138.7,54.6,-330.85,7.17,1.0
45.2813339,40.9558067,-3.034,-1.952,5.881,260.7,69.8,-326.63,7.07,1.0
