ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
45.3742065,40.9811401,1.172,-0.432,2.042,132.2,62.8,-344.73,8.61,0.91
45.3714981,41.0165558,1.049,1.693,2.658,207.8,68.3,-323.98,7.05,1.0
45.3682098,41.022583,0.9,2.055,2.756,231.6,72.5,-319.18,6.66,1.0
45.3651237,41.0738602,0.761,5.132,5.512,353.3,76.6,-61.69,5.46,0.0
45.3655434,41.0414429,0.78,3.186,3.649,165.3,64.4,-86.66,9.22,0.0
45.3626251,40.9952507,0.647,0.415,1.254,203.0,59.9,-327.82,6.37,1.0
45.36446,40.9417763,0.73,-2.794,2.955,119.0,52.2,-321.96,8.01,1.0
45.3640823,40.9307785,0.713,-3.453,3.562,137.8,58.2,-65.29,8.4,0.0
45.3541679,41.0824165,0.264,5.645,5.783,209.6,58.2,-97.24,6.76,0.0
45.3569984,40.9690552,0.393,-1.157,1.282,171.8,52.9,-16.08,7.38,0.0
45.3467903,41.090332,-0.07,6.12,6.175,130.2,55.4,-105.48,9.59,0.0
45.3502922,40.9285011,0.089,-3.59,3.615,191.2,61.8,-38.65,6.33,0.0
45.3484154,40.9520264,0.004,-2.178,2.202,149.4,57.2,-313.3,7.18,0.99
45.3436241,41.0358047,-0.213,2.848,2.859,336.1,66.9,-106.88,5.35,0.0
45.3397102,41.0859718,-0.39,5.858,5.88,370.6,63.7,-41.63,5.3,0.0
45.3404999,41.0007515,-0.355,0.745,0.915,132.5,55.1,-334.14,7.17,1.0
45.3409576,40.9784164,-0.334,-0.595,0.888,256.3,59.3,-25.46,6.31,0.0
45.3372078,41.0289459,-0.504,2.437,2.513,236.0,66.5,-75.11,6.74,0.0
45.331749,41.1228333,-0.751,8.07,8.106,174.5,59.8,-81.7,7.25,0.0
45.3361244,40.9888039,-0.553,0.028,0.963,169.1,57.6,-333.23,6.8,1.0
45.3326683,40.9540291,-0.709,-2.058,2.55,149.5,52.9,-321.67,7.19,1.0
45.3313332,40.9634438,-0.77,-1.493,2.142,139.1,51.9,-314.25,6.73,0.99
45.3267517,40.9593315,-0.977,-1.74,2.598,241.1,58.1,-88.97,6.64,0.0
45.3248329,40.9826927,-1.064,-0.339,1.932,138.7,54.6,-330.85,7.17,1.0
45.3252068,40.9190559,-1.047,-4.157,4.786,180.1,60.2,-51.11,7.3,0.0
45.3207092,40.933918,-1.251,-3.265,4.177,158.5,61.0,-28.1,7.42,0.0
45.3170433,41.0341682,-1.417,2.75,3.491,183.9,58.5,-43.74,7.37,0.0
45.3134995,41.0121651,-1.578,1.43,2.953,252.3,62.8,-0.45,6.12,0.0
45.3102493,41.0395546,-1.725,3.073,4.057,366.4,67.8,-65.87,6.11,0.0
45.3102493,41.0182762,-1.725,1.796,3.324,181.4,58.3,-25.32,7.85,0.0
45.3042488,40.9991684,-1.997,0.65,3.471,165.4,52.5,-9.82,8.64,0.0
45.2990837,41.0755272,-2.23,5.232,6.176,177.4,49.5,-111.33,7.7,0.0
45.2989159,40.9854736,-2.238,-0.172,3.937,226.7,61.0,-57.26,6.27,0.0
45.2950821,41.0437241,-2.412,3.323,5.06,259.5,58.5,-46.42,5.43,0.0
45.2937088,41.0641937,-2.474,4.552,5.918,270.1,58.7,-149.51,5.94,0.0
45.2855835,41.0526657,-2.842,3.86,5.931,176.4,51.3,-4.97,7.7,0.0
45.2903748,40.9049149,-2.625,-5.005,7.235,272.6,63.4,-89.41,7.08,0.0
45.2794571,41.0714989,-3.119,4.99,6.962,204.6,55.5,-64.57,7.16,0.0
45.2767487,41.0881958,-3.242,5.992,7.774,135.6,53.1,-127.93,9.39,0.0
45.2813339,40.9558067,-3.034,-1.952,5.881,260.7,69.8,-326.63,7.07,1.0
