X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
-112.417,-226.031,999.0,999.0,-1.22,0.21,1,0.9984580345218891
-343.948,-125.49,999.0,999.0,-1.53,0.23,1,0.9979119172616859
-489.664,44.581,999.0,999.0,-1.5,0.24,1,0.9933977237142169
-287.806,-111.446,999.0,999.0,-1.07,0.21,1,0.9986306070702794
-161.232,-147.903,999.0,999.0,-1.14,0.22,1,0.9987905311124365
5.274,-339.383,999.0,999.0,-0.76,0.25,1,0.995560656955427
221.653,-376.418,999.0,999.0,-1.13,0.25,1,0.9370756926127539
-201.291,-286.298,999.0,999.0,-1.29,0.21,1,0.997275446934196
-112.202,-113.351,999.0,999.0,-1.44,0.25,1,0.9984034272522325
9.904,-290.357,999.0,999.0,-1.29,0.26,1,0.9964470734661659
-360.979,-26.74,107.329,7.57,-0.84,0.23,1,0.998059803152615
-376.368,-148.036,84.319,5.36,-1.54,0.27,1,0.9966592098626114
-91.943,-312.312,999.0,999.0,-1.13,0.24,1,0.9973267528394356
-19.598,-242.451,999.0,999.0,-1.3,0.22,1,0.9974650964585298
-245.214,111.046,999.0,999.0,-0.8,0.23,1,0.994408287630708
-238.098,-280.846,999.0,999.0,-1.06,0.22,1,0.9967445732187434
-227.351,-70.267,999.0,999.0,-1.34,0.22,1,0.9987638815758494
-161.31,-3.901,999.0,999.0,-1.69,0.23,1,0.9975631008288119
-199.671,-270.77,999.0,999.0,-0.81,0.2,1,0.9976938758657202
-260.849,10.752,999.0,999.0,-1.26,0.22,1,0.9982119462616501
-315.705,-32.913,999.0,999.0,-1.62,0.23,1,0.9984576708445339
-285.786,-191.599,999.0,999.0,-0.97,0.29,1,0.9980205992141276
-258.588,-20.471,999.0,999.0,-1.07,0.23,1,0.9985196929144324
-361.021,-184.11,103.754,4.08,-1.38,0.28,1,0.9961812533136972
-418.174,118.767,999.0,999.0,-1.02,0.27,1,0.9946474841955806
-125.457,-193.646,999.0,999.0,-1.35,0.28,1,0.9986297862396363
308.868,-449.126,99.778,2.56,-1.23,0.23,1,0.6954931383816486
-458.653,-50.851,999.0,999.0,-1.12,0.25,1,0.9948275347661454
-410.501,-216.064,999.0,999.0,-1.46,0.3,1,0.9890310654790175
-44.398,-339.083,999.0,999.0,-0.82,0.22,1,0.9963820928657771
-286.381,-93.722,999.0,999.0,-1.02,0.21,1,0.9986735548018527
41.837,-249.741,999.0,999.0,-1.4,0.27,1,0.9954856842666185
-339.066,-38.196,999.0,999.0,-1.2,0.22,1,0.9983065634974274
-123.164,-132.46,999.0,999.0,-1.35,0.25,1,0.9985906386630097
-154.295,-101.54,999.0,999.0,-1.18,0.2,1,0.9986628403522116
-257.796,-202.458,999.0,999.0,-1.12,0.21,1,0.9982228163702691
-177.702,40.593,999.0,999.0,-0.86,0.21,1,0.99649714126507
-271.633,-154.001,999.0,999.0,-1.25,0.21,1,0.9985479420049522
-277.004,-76.231,999.0,999.0,-1.56,0.25,1,0.9987152757619558
-169.207,89.964,999.0,999.0,-1.51,0.25,1,0.9924935659122307
-149.81,-70.601,78.417,5.34,-1.12,0.21,1,0.9984286099545817
-143.457,-38.109,999.0,999.0,-1.68,0.25,1,0.9979565588657113
16.838,-252.804,999.0,999.0,-1.32,0.26,1,0.9965090392309515
-202.202,-205.369,999.0,999.0,-1.2,0.22,1,0.9985744832444238
-231.863,-275.844,999.0,999.0,-0.46,0.25,1,0.9970616730206255
-447.185,-22.273,999.0,999.0,-1.33,0.22,1,0.9958701304782461
-150.693,-243.476,999.0,999.0,-1.52,0.24,1,0.9983739669662478
-253.775,5.238,999.0,999.0,-1.06,0.24,1,0.9982606793818865
-223.281,-181.276,96.287,4.41,-1.13,0.24,1,0.9986556404271583
-102.453,-238.58,999.0,999.0,-1.48,0.29,1,0.9983446791786856
-298.906,-12.424,999.0,999.0,-1.13,0.26,1,0.9984243133061776
-493.874,113.703,999.0,999.0,-1.04,0.29,1,0.9912554902003698
-301.103,57.205,999.0,999.0,-1.35,0.22,1,0.9975178247857794
-331.679,-188.428,999.0,999.0,-0.91,0.21,1,0.9971190289348273
-183.811,32.232,83.971,4.38,-1.4,0.21,1,0.9969652678926195
-1.436,-33.106,999.0,999.0,-0.92,0.23,1,0.9887572523869438
-15.419,-301.235,81.128,4.16,-1.64,0.22,1,0.9968584215354934
-227.492,34.705,999.0,999.0,-0.79,0.22,1,0.9975782754111029
-365.898,-39.794,102.111,4.83,-1.08,0.22,1,0.9980086593789325
-173.281,-81.757,999.0,999.0,-1.59,0.27,1,0.9986638218495452
-384.826,78.693,999.0,999.0,-0.83,0.26,1,0.9966209661620079
-51.401,-261.3,999.0,999.0,-1.02,0.26,1,0.9978201901038343
-10.068,-206.212,999.0,999.0,-1.33,0.28,1,0.9972392995977318
-188.904,-53.237,999.0,999.0,-0.63,0.22,1,0.9985567826518471
-202.647,-137.05,82.743,3.8,-0.75,0.21,1,0.9988413584739756
-309.436,-9.036,101.451,4.75,-1.19,0.27,1,0.998367886184582
-255.672,-377.71,999.0,999.0,-1.56,0.27,1,0.9831365782159467
-113.279,-6.66,86.146,6.19,-1.11,0.22,1,0.9964096398079637
-329.915,-44.833,999.0,999.0,-1.06,0.29,1,0.9983929828947371
109.63,-486.575,999.0,999.0,-1.02,0.27,1,0.9637717170042527
-389.032,73.393,999.0,999.0,-1.67,0.26,1,0.9966873788589703
-280.498,-233.148,98.848,4.13,-1.34,0.22,1,0.9972736813966641
213.215,-459.46,999.0,999.0,-1.95,0.25,1,0.9209601631897373
-372.714,-6.314,91.649,4.09,-1.25,0.29,1,0.9978502017402986
-25.769,-187.796,88.644,4.67,-1.36,0.21,1,0.9975313136308126
17.279,-188.852,86.573,5.73,-0.86,0.27,1,0.9961398156334067
-227.976,-158.645,999.0,999.0,-1.09,0.26,1,0.9987499215789053
-12.385,-236.737,999.0,999.0,-1.19,0.22,1,0.9973313638140381
-306.747,-39.0,999.0,999.0,-1.32,0.3,1,0.9985231170753198
-178.286,-204.41,92.28,3.79,-1.52,0.29,1,0.9986417974289596
-352.1,-124.168,999.0,999.0,-1.02,0.22,1,0.9977705476006657
-259.584,-26.804,88.712,6.26,-1.12,0.26,1,0.9985652372420409
-351.134,20.207,999.0,999.0,-0.95,0.29,1,0.997897257346383
-404.914,86.529,999.0,999.0,-1.26,0.2,1,0.9960995341713855
-35.977,-424.313,999.0,999.0,-1.34,0.23,1,0.9903734507878266
