X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
112.504,45.194,999.0,999.0,-1.21,0.29,1,0.9989485232671738
213.075,-60.179,999.0,999.0,-0.41,0.29,1,0.9994031065188701
11.863,-55.444,999.0,999.0,-1.42,0.27,1,0.9991464222604236
117.839,-17.032,999.0,999.0,-1.61,0.22,1,0.9995377825035968
114.295,-9.328,999.0,999.0,-0.7,0.2,1,0.9995109855893451
255.757,24.513,999.0,999.0,-1.72,0.28,1,0.9984388383863315
151.528,-88.853,999.0,999.0,-0.95,0.25,1,0.9994454269165248
228.991,-69.093,999.0,999.0,-1.08,0.27,1,0.999291506440803
213.79,-143.474,-302.55,4.19,-1.3,0.28,1,0.9981795225969912
195.179,-35.327,-296.822,3.87,-1.06,0.3,1,0.9994807234929743
169.433,-55.618,999.0,999.0,-0.64,0.21,1,0.9995367330330028
4.954,-76.553,-300.532,4.1,-1.21,0.22,1,0.9989433992098403
293.334,16.244,999.0,999.0,-1.06,0.25,1,0.997701818601686
105.991,0.219,999.0,999.0,-1.21,0.21,1,0.9994608219311053
39.8,171.379,-296.717,4.3,-1.74,0.24,1,0.8957816655135373
52.023,19.395,999.0,999.0,-1.53,0.29,1,0.9991352539386212
185.176,10.108,999.0,999.0,-1.26,0.28,1,0.9993142365861363
165.72,-126.658,999.0,999.0,-1.02,0.26,1,0.9989896507243421
259.825,-129.874,999.0,999.0,-1.14,0.25,1,0.997920512326768
54.705,34.174,-301.979,4.16,-0.72,0.3,1,0.9989296595863233
139.99,-94.751,999.0,999.0,-1.15,0.28,1,0.999413606227635
147.164,-33.304,999.0,999.0,-1.32,0.21,1,0.999564532330788
26.229,-116.915,-301.872,4.19,-1.24,0.26,1,0.998565826199204
179.602,-76.712,999.0,999.0,-1.47,0.22,1,0.9994617300908788
306.842,-102.657,-291.57,4.16,-1.04,0.22,1,0.9974606294547741
-22.244,-87.874,999.0,999.0,-1.14,0.22,1,0.9982972898347234
143.623,-12.797,999.0,999.0,-1.42,0.26,1,0.9995235475942206
233.933,-88.368,999.0,999.0,-1.07,0.27,1,0.999138576802863
109.545,4.096,999.0,999.0,-1.04,0.24,1,0.9994426950844353
195.412,-193.864,999.0,999.0,-1.37,0.21,1,0.992993586729686
287.233,2.03,-285.83,3.41,-1.85,0.28,1,0.9982602142280071
228.887,-116.268,999.0,999.0,-0.79,0.29,1,0.9988057109951421
58.879,-88.638,-298.312,4.01,-1.08,0.22,1,0.9992864403747691
38.067,-89.082,999.0,999.0,-0.12,0.26,1,0.9991523932899257
102.963,-41.07,999.0,999.0,-1.4,0.29,1,0.9995578137806749
-132.441,-92.235,999.0,999.0,-0.99,0.25,1,0.9843427169085079
122.404,32.568,999.0,999.0,-0.93,0.26,1,0.9991781603326763
91.705,-35.912,999.0,999.0,-1.04,0.24,1,0.9995401930100547
85.252,-6.149,-295.074,4.78,-1.44,0.24,1,0.9994573587687168
47.349,7.8,999.0,999.0,-0.66,0.24,1,0.9992267600476422
80.288,-24.802,999.0,999.0,-1.03,0.26,1,0.9995041271993367
121.776,-82.353,999.0,999.0,-1.4,0.28,1,0.9994836205009541
116.296,49.079,999.0,999.0,-0.38,0.27,1,0.9988642003938881
219.367,5.529,999.0,999.0,-0.92,0.26,1,0.9991781770592231
3.532,53.959,-308.344,3.02,-0.7,0.28,1,0.9975103603846265
31.439,67.457,999.0,999.0,-0.98,0.24,1,0.9974132317358229
-32.592,-30.695,999.0,999.0,-1.05,0.21,1,0.9985053980816339
-59.805,-49.575,-285.83,4.2,-1.54,0.29,1,0.9976302513004783
75.611,39.602,999.0,999.0,-0.79,0.21,1,0.998950535049021
-7.577,-6.407,999.0,999.0,-1.18,0.2,1,0.9988211085173232
56.433,-64.061,-285.805,4.1,-0.93,0.22,1,0.999409464527819
165.742,61.684,999.0,999.0,-0.71,0.25,1,0.9983637608273164
123.642,-96.944,-288.806,5.05,-1.27,0.25,1,0.9993942342737306
43.538,8.799,-287.822,4.59,-1.43,0.27,1,0.9991947906286731
97.637,-142.471,-303.486,4.54,-1.25,0.23,1,0.9985227939730649
126.352,-71.325,-292.174,4.14,-0.98,0.25,1,0.9995296210670755
171.618,-101.608,-306.188,5.19,-1.09,0.23,1,0.9993198047607521
173.06,-70.968,999.0,999.0,-0.97,0.25,1,0.9994963242962069
147.199,-175.407,999.0,999.0,-1.16,0.28,1,0.996654079161522
300.026,-96.689,999.0,999.0,-0.9,0.27,1,0.9978774953660234
-13.9,11.46,-296.083,3.04,-1.45,0.29,1,0.9984820371970762
118.269,-54.029,999.0,999.0,-1.01,0.27,1,0.9995635240891055
186.029,34.16,-297.512,3.05,-1.2,0.29,1,0.9990007903475104
74.035,9.047,999.0,999.0,-1.49,0.2,1,0.9993361289758027
328.093,58.441,999.0,999.0,-1.19,0.2,1,0.9904011055671084
234.094,-69.82,-293.758,2.9,-0.92,0.22,1,0.9992546043598676
189.926,42.109,999.0,999.0,-1.22,0.25,1,0.9988093765351111
129.332,-21.123,999.0,999.0,-1.58,0.22,1,0.9995508880869289
34.917,-72.222,999.0,999.0,-1.84,0.24,1,0.9992574855456371
161.147,-56.534,999.0,999.0,-1.08,0.29,1,0.9995471283857039
175.976,-58.636,999.0,999.0,-1.67,0.26,1,0.999520688480778
189.565,-153.67,-284.364,4.03,-1.44,0.26,1,0.9979750360504919
131.903,-16.231,999.0,999.0,-1.32,0.23,1,0.9995384101415209
3.083,9.809,999.0,999.0,-1.02,0.29,1,0.9987930335407428
152.048,-47.694,-292.07,4.86,-0.66,0.28,1,0.9995645460545816
335.879,-23.484,999.0,999.0,-0.96,0.27,1,0.9968123449195849
-38.649,24.182,999.0,999.0,-0.96,0.22,1,0.9974495564164255
163.682,-100.488,-295.368,3.96,-1.04,0.3,1,0.999345675479856
269.975,-35.03,999.0,999.0,-0.81,0.23,1,0.9989449725304824
158.372,-75.435,999.0,999.0,-0.52,0.23,1,0.9995027661371352
188.248,31.66,999.0,999.0,-1.19,0.29,1,0.9990325872280059
172.368,16.471,-280.366,3.78,-1.03,0.26,1,0.9992977775566559
315.461,-61.889,999.0,999.0,-1.0,0.3,1,0.9978969517664602
188.41,-116.007,999.0,999.0,-1.31,0.25,1,0.9990934766999665
229.709,-195.9,999.0,999.0,-1.5,0.26,1,0.9906001914817627
2.999,-75.858,999.0,999.0,-1.2,0.21,1,0.9989246779302497
-56.398,-45.752,999.0,999.0,-0.63,0.24,1,0.9977894737321333
169.823,-112.429,999.0,999.0,-1.08,0.22,1,0.9992060618822802
208.432,-13.92,999.0,999.0,-0.66,0.24,1,0.9993734891060739
38.755,20.481,-291.221,4.18,-1.58,0.22,1,0.9990288877133345
272.643,-28.729,999.0,999.0,-1.6,0.29,1,0.9988838176897878
113.54,-104.806,-310.046,4.64,-1.42,0.2,1,0.9993143001867162
-123.301,-94.439,999.0,999.0,-1.34,0.27,1,0.9870668132110224
308.213,-128.203,999.0,999.0,-0.79,0.27,1,0.9961093659564809
76.453,-120.873,999.0,999.0,-1.28,0.21,1,0.9989656937382626
160.115,-76.185,999.0,999.0,-1.84,0.28,1,0.9994978484378901
172.785,-109.719,999.0,999.0,-0.87,0.21,1,0.9992318912472414
-65.152,-56.972,999.0,999.0,-0.9,0.24,1,0.9973151571067069
70.67,-19.085,999.0,999.0,-1.42,0.29,1,0.9994659759835013
140.468,45.21,999.0,999.0,-0.79,0.29,1,0.9989446219973497
115.597,-5.866,999.0,999.0,-1.13,0.26,1,0.9994980272955831
-45.315,13.544,999.0,999.0,-1.26,0.29,1,0.9975380910729439
19.86,-14.158,999.0,999.0,-0.95,0.22,1,0.9991824418076168
129.578,-135.983,999.0,999.0,-1.03,0.24,1,0.9988153586418738
52.056,-104.046,999.0,999.0,-1.29,0.28,1,0.999081590137293
97.775,-51.66,999.0,999.0,-1.47,0.21,1,0.9995457393424799
221.909,-5.64,-287.878,4.87,-0.95,0.29,1,0.9992530123125821
151.219,-146.688,-289.927,6.49,-1.0,0.22,1,0.9984780665301959
160.863,26.866,999.0,999.0,-1.18,0.29,1,0.9992116743716354
318.786,25.929,999.0,999.0,-0.71,0.27,1,0.9959024490387419
