X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member
109.701,57.3,122.3,4.25,-1.21,0.29,1,0.9999846200996186
268.018,25.29,999.0,999.0,-1.69,0.3,1,0.9984985351658006
83.167,22.523,999.0,999.0,-1.43,0.24,1,0.9996063771324828
60.369,-53.521,999.0,999.0,-1.54,0.21,1,0.9995308238108833
182.893,-46.206,999.0,999.0,-1.35,0.24,1,0.9994416174895716
167.14,-61.696,999.0,999.0,-1.19,0.28,1,0.9993235376879972
17.273,-12.386,999.0,999.0,-1.2,0.21,1,0.9996193543153717
236.5,9.244,126.977,4.23,-0.75,0.23,1,0.9999808334464274
63.143,-82.401,999.0,999.0,-1.32,0.25,1,0.9990159997229677
229.211,-25.394,999.0,999.0,-1.65,0.3,1,0.9993118014897865
97.393,26.811,999.0,999.0,-1.21,0.23,1,0.9995786229782571
70.994,-0.097,999.0,999.0,-1.25,0.27,1,0.9996832209190645
28.279,70.181,999.0,999.0,-1.52,0.29,1,0.9983507699694917
126.688,-52.587,999.0,999.0,-1.3,0.28,1,0.9995349637537492
-19.481,11.54,999.0,999.0,-1.38,0.29,1,0.9994280942905798
-79.452,-29.888,999.0,999.0,-0.98,0.23,1,0.9988829801641245
34.844,13.934,999.0,999.0,-1.16,0.28,1,0.9995995925436522
-79.999,-18.325,999.0,999.0,-1.26,0.24,1,0.998946043450086
-12.82,-46.756,999.0,999.0,-1.04,0.26,1,0.9993684860031286
172.373,27.89,116.86,4.52,-0.73,0.2,1,0.999986280313514
6.565,20.387,999.0,999.0,-0.46,0.28,1,0.9994846153491972
151.924,-4.54,999.0,999.0,-1.16,0.22,1,0.9996459407000272
-12.611,17.116,999.0,999.0,-0.75,0.27,1,0.9994260510003573
99.203,-36.351,999.0,999.0,-1.14,0.21,1,0.9996521752508218
198.622,-39.339,999.0,999.0,-1.01,0.21,1,0.9994239224892077
196.752,26.451,999.0,999.0,-1.14,0.26,1,0.9993397354482683
17.184,-27.673,999.0,999.0,-1.29,0.28,1,0.9995962123097334
154.703,-77.585,999.0,999.0,-1.41,0.26,1,0.9990366739675708
64.007,49.743,999.0,999.0,-0.64,0.28,1,0.9992684188920472
-170.557,-64.104,112.172,5.04,-0.75,0.28,1,0.9993654858560217
271.32,-61.239,114.986,4.56,-0.92,0.22,1,0.9999344648525125
47.122,-1.254,999.0,999.0,-0.98,0.3,1,0.999663815246305
-135.609,-4.7,999.0,999.0,-1.68,0.28,1,0.9972579827789727
111.489,-72.841,999.0,999.0,-1.48,0.29,1,0.9992780134127396
112.203,16.603,119.588,4.1,-1.35,0.26,1,0.9999933369577437
80.333,-33.912,120.477,4.09,-1.51,0.24,1,0.9999941179827396
98.392,-11.577,999.0,999.0,-0.83,0.23,1,0.9996974794459172
30.015,-9.959,999.0,999.0,-1.27,0.3,1,0.9996457398415223
208.246,-85.557,999.0,999.0,-0.99,0.29,1,0.9981285133189308
240.818,-12.735,999.0,999.0,-0.93,0.26,1,0.9992431562200295
119.9,-75.02,999.0,999.0,-1.89,0.28,1,0.9992184180647408
108.926,-26.541,999.0,999.0,-1.54,0.28,1,0.9996784648373098
-48.897,-42.248,999.0,999.0,-1.23,0.24,1,0.9991434758632461
216.247,58.461,121.745,4.67,-0.83,0.22,1,0.9999681269678863
145.423,-11.386,999.0,999.0,-1.39,0.22,1,0.9996603026393002
218.268,-84.944,999.0,999.0,-1.37,0.24,1,0.9979687502822352
-18.052,-27.148,999.0,999.0,-1.59,0.25,1,0.9994723165676321
227.314,36.043,999.0,999.0,-0.94,0.23,1,0.9989152597180749
-170.376,12.591,999.0,999.0,-1.15,0.25,1,0.9934345332869929
246.718,31.703,109.51,4.82,-1.42,0.24,1,0.9998405375502821
188.125,4.619,999.0,999.0,-1.37,0.21,1,0.9995307227518625
