X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
138.882,16.455,999.0,999.0,-0.9,0.27,1,0.9988737188163181
248.704,97.182,999.0,999.0,-0.95,0.28,1,0.9975804064698166
-81.872,117.348,208.152,3.85,-0.48,0.21,1,0.997217692253985
311.457,-227.495,198.727,5.23,-1.51,0.29,1,0.9779683926289978
189.519,5.793,999.0,999.0,-1.63,0.22,1,0.9986240891872384
-57.498,283.979,999.0,999.0,-1.38,0.29,1,0.9944879200952296
205.299,-18.799,999.0,999.0,-1.32,0.29,1,0.9983971722652936
-44.834,2.108,999.0,999.0,-1.13,0.22,1,0.9973542006727556
34.862,82.003,999.0,999.0,-0.86,0.2,1,0.9988423112953473
267.264,32.515,213.249,4.75,-0.61,0.27,1,0.9975083870113174
191.884,-104.323,999.0,999.0,-1.94,0.29,1,0.9974674732076997
244.314,85.499,999.0,999.0,-1.1,0.26,1,0.9977925829489579
-63.504,164.516,999.0,999.0,-1.27,0.27,1,0.9974899565642034
-11.873,-23.278,199.502,4.47,-1.55,0.29,1,0.9977159340663454
116.735,110.305,999.0,999.0,-1.17,0.28,1,0.9988853858408829
139.626,-118.389,999.0,999.0,-1.12,0.23,1,0.9973276965228355
74.011,110.994,202.497,4.67,-1.08,0.29,1,0.9989099511703474
82.88,-324.203,999.0,999.0,-0.94,0.21,1,0.8962323008246099
143.976,-30.172,999.0,999.0,-1.09,0.24,1,0.9986505947181249
116.973,48.734,999.0,999.0,-1.63,0.26,1,0.9989608653724847
-116.454,44.601,999.0,999.0,-1.19,0.23,1,0.9948685569482876
-71.077,-63.102,218.102,4.2,-1.51,0.25,1,0.9937473576997168
210.026,120.777,999.0,999.0,-0.8,0.26,1,0.9981179261182841
85.717,251.004,999.0,999.0,-0.95,0.29,1,0.9971961464921036
132.147,-67.674,999.0,999.0,-1.02,0.26,1,0.9983062033605713
-92.228,212.752,999.0,999.0,-1.37,0.23,1,0.9958811032825737
18.613,172.625,999.0,999.0,-1.66,0.2,1,0.9984498130887285
19.701,184.164,999.0,999.0,-0.83,0.27,1,0.998353718676759
164.873,87.076,999.0,999.0,-1.02,0.26,1,0.9987682534047201
78.502,108.161,999.0,999.0,-2.33,0.27,1,0.9989205270845108
262.288,-138.71,227.163,4.6,-1.27,0.25,1,0.9948969082164365
14.66,429.343,999.0,999.0,-1.06,0.25,1,0.9584263893382057
19.345,10.359,999.0,999.0,-1.25,0.2,1,0.9985175081119542
-43.712,-36.106,999.0,999.0,-0.97,0.26,1,0.9965364285876569
200.291,-250.926,999.0,999.0,-1.23,0.24,1,0.9824329117865946
181.371,32.269,999.0,999.0,-1.45,0.26,1,0.9987271308080715
188.557,-93.261,999.0,999.0,-1.61,0.25,1,0.9977195345098461
-30.149,204.675,220.857,5.48,-0.86,0.27,1,0.9976395478235263
242.876,-130.794,999.0,999.0,-0.79,0.23,1,0.9958638743660143
132.576,143.84,999.0,999.0,-1.27,0.3,1,0.9986608552067112
209.662,101.076,220.882,5.48,-0.88,0.25,1,0.9982855878753993
59.218,242.366,999.0,999.0,-0.79,0.29,1,0.9975263868636143
-15.759,138.894,212.757,4.53,-1.2,0.23,1,0.9983885370689505
74.474,301.262,999.0,999.0,-1.7,0.24,1,0.9948932884329307
-112.318,102.421,999.0,999.0,-1.24,0.23,1,0.9959345762906742
276.55,68.336,999.0,999.0,-1.48,0.24,1,0.997034846097364
25.712,57.771,999.0,999.0,-1.36,0.22,1,0.9987687429950844
114.408,238.302,999.0,999.0,-1.22,0.26,1,0.9973318131714338
140.627,-188.237,999.0,999.0,-1.08,0.24,1,0.9935770316546526
143.728,-36.986,999.0,999.0,-1.17,0.2,1,0.9986016997351477
55.656,70.688,999.0,999.0,-1.62,0.29,1,0.9989168500411102
162.46,113.434,216.368,5.24,-1.04,0.21,1,0.9986764910165251
188.391,14.648,999.0,999.0,-1.32,0.21,1,0.998654472154982
-28.03,301.767,999.0,999.0,-1.19,0.25,1,0.9942684955856855
-37.447,-39.355,999.0,999.0,-1.7,0.3,1,0.9966734751602594
49.587,95.131,999.0,999.0,-1.15,0.3,1,0.998890960764447
60.924,146.895,999.0,999.0,-1.42,0.29,1,0.9987556627856852
134.064,118.797,999.0,999.0,-0.77,0.29,1,0.9987992966054035
-171.176,125.274,999.0,999.0,-1.93,0.29,1,0.9903837142833164
229.7,432.098,999.0,999.0,-1.54,0.22,1,0.8072456429747479
140.955,274.714,210.101,4.71,-1.13,0.21,1,0.995263413936136
91.685,-42.513,999.0,999.0,-1.32,0.3,1,0.9985204456705327
178.338,217.327,999.0,999.0,-1.34,0.26,1,0.996891158471746
333.284,-60.617,999.0,999.0,-1.36,0.27,1,0.9936478068125625
258.69,-76.769,999.0,999.0,-0.85,0.25,1,0.9969454835936872
39.857,145.316,217.23,5.71,-1.21,0.3,1,0.9987149982790926
198.089,190.729,999.0,999.0,-1.01,0.23,1,0.9971853434434564
-27.27,-71.087,999.0,999.0,-0.69,0.29,1,0.9959667287410454
332.888,-46.166,999.0,999.0,-1.4,0.23,1,0.9939789679047194
85.191,-157.607,999.0,999.0,-0.99,0.24,1,0.9951022816660463
276.389,116.756,999.0,999.0,-1.41,0.21,1,0.9963088740703498
-110.915,314.166,999.0,999.0,-0.9,0.26,1,0.9880855135159952
